_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
1,1511,652,LOWER DON PARKLANDS,Park,None,44 Beechwood Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1511,"{""coordinates"": [[-79.3576023113547, 43.6908358662758]], ""type"": ""MultiPoint""}"
2,869,963,SMITHFIELD PARK,Park,"Ball Diamond, Basketball Court, Outdoor Dry Pad, Outdoor Fitness Equipment, Playground, Skateboarding, Washroom",173 Mount Olive Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=869,"{""coordinates"": [[-79.5953493031208, 43.7473680463062]], ""type"": ""MultiPoint""}"
3,2597,1216,ETHENNONNHAWAHSTIHNEN PARK,Park,"Firepit, Playground, Sports Field, Washroom",80 McMahon Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2597,"{""coordinates"": [[-79.3735202085598, 43.7675350341834]], ""type"": ""MultiPoint""}"
4,2592,1503,SEELEY GREENBELT,Park,None,23 Seeley Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2592,"{""coordinates"": [[-79.4915541253171, 43.7419075391366]], ""type"": ""MultiPoint""}"
5,2565,882,ROBERT HICKS PARK,Park,Playground,39 Robert Hicks Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2565,"{""coordinates"": [[-79.4533236543732, 43.7723803366189]], ""type"": ""MultiPoint""}"
6,149,947,SHERWOOD PARK,Park,"Ball Diamond, Dog Off-Leash Area, Picnic Site, Playground, Washroom",190 Sherwood Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=149,"{""coordinates"": [[-79.3866747010043, 43.7167635895482]], ""type"": ""MultiPoint""}"
7,2191,1221,CARSTOWE ROAD LANDS,Park,None,151 Carstowe Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2191,"{""coordinates"": [[-79.3785230707903, 43.6861548629257]], ""type"": ""MultiPoint""}"
8,458,1545,TOWN HALL SQUARE,Park,None,20 Yorkville Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=458,"{""coordinates"": [[-79.3882843880466, 43.6720394338363]], ""type"": ""MultiPoint""}"
9,187,742,MOUNT ROYAL PARKETTE,Park,Playground,49 Mount Royal Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=187,"{""coordinates"": [[-79.432507600036, 43.6765809260083]], ""type"": ""MultiPoint""}"
10,2543,2094,TORONTO ISLANDS - OLYMPIC ISLAND PARK,Park,"Firepit, Picnic Site, Playground, Washroom",9 Queens Quay W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2543,"{""coordinates"": [[-79.3745494830169, 43.6225357610824]], ""type"": ""MultiPoint""}"
11,966,22,ALEXANDER PARK,Park,Playground,33 Alexander St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=966,"{""coordinates"": [[-79.4883459350755, 43.6187956744513]], ""type"": ""MultiPoint""}"
12,235,909,RUNNYMEDE PARK,Park,"Ball Diamond, Playground, Sports Field, Tennis Court",221 Ryding Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=235,"{""coordinates"": [[-79.4785521308344, 43.6682913614552]], ""type"": ""MultiPoint""}"
13,2797,12439,TRETHEWEY PARK WEST,Park,"Basketball Court, Outdoor Ping Pong/Table Tennis, Playground, Sports Field",665 Trethewey Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2797,"{""coordinates"": [[-79.4978753800819, 43.6967810342362]], ""type"": ""MultiPoint""}"
14,670,444,GREENVALE PARK,Park,"Ball Diamond, Playground",10 Greenvale Ter,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=670,"{""coordinates"": [[-79.2017192125831, 43.7567840888921]], ""type"": ""MultiPoint""}"
15,959,584,KINGSVIEW PARK,Park,"Playground, Tennis Court",46 Kingsview Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=959,"{""coordinates"": [[-79.5543427177554, 43.6991667361521]], ""type"": ""MultiPoint""}"
16,2249,425,GLEN SHEPPARD PARK,Park,"Playground, Sports Field",905 Danforth Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2249,"{""coordinates"": [[-79.2501322431387, 43.7276187321779]], ""type"": ""MultiPoint""}"
17,632,175,CHALKFARM PARK,Park,"Outdoor Fitness Equipment, Pickleball Court, Playground, Tennis Court",2230 Jane St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=632,"{""coordinates"": [[-79.5153050051708, 43.7251242404364]], ""type"": ""MultiPoint""}"
18,2236,238,COXWELL AVENUE PARKETTE,Park,Basketball Court,429 Coxwell Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2236,"{""coordinates"": [[-79.3207265471604, 43.677893661242]], ""type"": ""MultiPoint""}"
19,2283,664,MAIN SEWAGE TREATMENT PLAYGROUND,Park,"Ball Diamond, Basketball Court, Sports Field",1091 Eastern Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2283,"{""coordinates"": [[-79.3178439280873, 43.6633863008744]], ""type"": ""MultiPoint""}"
20,216,1018,SYMINGTON AVENUE PLAYGROUND,Park,"Ball Diamond, Outdoor Fitness Equipment, Outdoor Ping Pong/Table Tennis, Tennis Court",431 Perth Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=216,"{""coordinates"": [[-79.4522856824199, 43.666706102709]], ""type"": ""MultiPoint""}"
21,406,447,GUILD PARK AND GARDENS,Park,Washroom,201 Guildwood Pkwy,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=406,"{""coordinates"": [[-79.1918974132225, 43.7465778090197]], ""type"": ""MultiPoint""}"
22,974,285,DONNYBROOK PARK,Park,Playground,43 Loyalist Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=974,"{""coordinates"": [[-79.5207004271259, 43.6531548196053]], ""type"": ""MultiPoint""}"
23,2392,1364,JACKSON PARKETTE,Park,None,104 The Kingsway,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2392,"{""coordinates"": [[-79.5111066888333, 43.6531372064345]], ""type"": ""MultiPoint""}"
24,1059,306,DUNN AVENUE PARKETTE,Park,None,225 Dunn Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1059,"{""coordinates"": [[-79.4334717108104, 43.6394939983686]], ""type"": ""MultiPoint""}"
25,867,895,ROTARY PEACE PARK,Park,"Ball Diamond, Pickleball Court, Playground, Tennis Court, Washroom",25 Eleventh St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=867,"{""coordinates"": [[-79.5068692870492, 43.5947627654434]], ""type"": ""MultiPoint""}"
26,2457,457,HAMPSHIRE HEIGHTS PARK,Park,None,231 Martin Grove Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2457,"{""coordinates"": [[-79.5503777611688, 43.6557836833223]], ""type"": ""MultiPoint""}"
27,2374,183,CHARLES SAURIOL PARKETTE,Park,None,4 Hillside Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2374,"{""coordinates"": [[-79.3570555111895, 43.6856305330459]], ""type"": ""MultiPoint""}"
28,151,544,JEAN SIBELIUS SQUARE,Park,"Picnic Site, Playground, Washroom",50 Kendal Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=151,"{""coordinates"": [[-79.4087961518939, 43.6714476735726]], ""type"": ""MultiPoint""}"
29,102,807,PAUL KANE HOUSE PARKETTE,Park,None,56 Wellesley St E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=102,"{""coordinates"": [[-79.3822077759743, 43.6657593609103]], ""type"": ""MultiPoint""}"
30,307,832,POTTERY PLAYGROUND,Park,Playground,601 Merton St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=307,"{""coordinates"": [[-79.3784968971666, 43.6995077135555]], ""type"": ""MultiPoint""}"
31,1471,928,SCARLETT MILLS PARK,Park,Tennis Court,235 Edenbridge Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1471,"{""coordinates"": [[-79.5106471931552, 43.6757474797456]], ""type"": ""MultiPoint""}"
32,154,1222,CASA LOMA PARKETTE,Park,None,328 A Walmer Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=154,"{""coordinates"": [[-79.4107712078463, 43.6789692783754]], ""type"": ""MultiPoint""}"
33,2102,883,ROBERTSON DAVIES PARK,Park,None,275 Avenue Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2102,"{""coordinates"": [[-79.3976358639293, 43.6785904316936]], ""type"": ""MultiPoint""}"
34,213,757,NORDHEIMER RAVINE,Park,None,326 Spadina Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=213,"{""coordinates"": [[-79.4126187416069, 43.6829395192894]], ""type"": ""MultiPoint""}"
35,368,210,CLOUD GARDENS,Park,None,14 Temperance St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=368,"{""coordinates"": [[-79.3797165089155, 43.6511843140751]], ""type"": ""MultiPoint""}"
36,105,574,KENNEDY - MARGDON PARKETTE,Park,"Outdoor Fitness Equipment, Playground",24 Kennedy Park Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=105,"{""coordinates"": [[-79.4733408555681, 43.6523231740481]], ""type"": ""MultiPoint""}"
37,2389,1683,CHAUNCEY - ISLINGTON PARKETTE,Park,None,1116 Islington Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2389,"{""coordinates"": [[-79.521118880237, 43.6377653994245]], ""type"": ""MultiPoint""}"
38,3641,1914,ORPHAN'S GREEN,Park,Dog Off-Leash Area,51 Power St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3641,"{""coordinates"": [[-79.3618914753787, 43.6547967018755]], ""type"": ""MultiPoint""}"
39,2219,1241,COBBLE HILLS PARKETTE,Park,None,6 Cobble Hills,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2219,"{""coordinates"": [[-79.5229679500174, 43.6728386907633]], ""type"": ""MultiPoint""}"
40,2594,398,GARRISON CREEK PARK,Park,None,1090 Shaw St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2594,"{""coordinates"": [[-79.4282823184823, 43.6714381473382]], ""type"": ""MultiPoint""}"
41,871,1010,SUNNYDALE ACRES PARK,Park,"Ball Diamond, Playground, Tennis Court, Washroom",50 Amoro Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=871,"{""coordinates"": [[-79.5785252711438, 43.7240965975286]], ""type"": ""MultiPoint""}"
42,2625,474,HEATHERCREST PARK,Park,"Outdoor Fitness Equipment, Playground",19 Storey Cres,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2625,"{""coordinates"": [[-79.5627891131937, 43.6670420733845]], ""type"": ""MultiPoint""}"
43,37,678,MARIA STREET PARKETTE,Park,Playground,240 Maria St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=37,"{""coordinates"": [[-79.4805629465542, 43.6666590410375]], ""type"": ""MultiPoint""}"
44,2118,65,BARTLEY PARK,Park,Playground,112 Bartley Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2118,"{""coordinates"": [[-79.3086360997155, 43.7224311087192]], ""type"": ""MultiPoint""}"
45,1854,1003,STRATFORD PARK,Park,None,2100 Bayview Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1854,"{""coordinates"": [[-79.3797911006885, 43.7216282420146]], ""type"": ""MultiPoint""}"
46,2113,61,BANBURY PARK,Park,"Pickleball Court, Playground, Tennis Court",120 Banbury Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2113,"{""coordinates"": [[-79.3698734945276, 43.7427740008615]], ""type"": ""MultiPoint""}"
